current_temperature,target_temperature,humidity,heater_speed
21.3,26.0,53.78,41.33
17.55,26.0,64.11,68.99
21.45,26.0,79.98,38.55
12.36,26.0,65.0,97.44
27.34,26.0,47.22,0.0
19.72,26.0,46.6,52.27
24.52,26.0,54.1,19.41
13.32,26.0,78.71,85.06
19.79,26.0,69.86,48.79
19.85,26.0,67.52,48.08
27.01,26.0,57.76,0.0
21.15,26.0,82.18,40.1
19.58,26.0,58.25,53.82
16.27,26.0,78.4,72.94
17.31,26.0,80.84,61.17
20.33,26.0,64.33,40.68
19.02,26.0,80.77,54.5
12.35,26.0,56.07,97.87
25.22,26.0,71.34,14.91
26.34,26.0,48.52,2.04
14.24,26.0,63.96,93.35
20.86,26.0,53.69,40.31
13.74,26.0,47.51,94.47
22.76,26.0,45.15,33.05
16.5,26.0,57.99,75.59
22.55,26.0,68.58,28.94
23.63,26.0,63.21,26.64
24.3,26.0,57.07,16.94
13.72,26.0,84.65,86.37
26.66,26.0,82.58,2.14
15.68,26.0,50.03,81.71
12.6,26.0,61.6,96.1
20.88,26.0,70.95,43.66
17.93,26.0,74.34,62.23
25.28,26.0,59.65,8.78
24.93,26.0,74.85,10.84
17.07,26.0,49.97,73.01
27.25,26.0,58.27,0.0
16.65,26.0,73.66,64.6
20.24,26.0,70.03,48.52
16.1,26.0,78.49,69.67
26.98,26.0,46.87,0.0
14.63,26.0,51.98,82.37
12.72,26.0,46.94,100.0
18.96,26.0,52.68,56.77
27.88,26.0,45.17,0.0
26.27,26.0,65.17,0.0
23.98,26.0,66.13,23.36
26.25,26.0,71.32,0.0
26.3,26.0,60.4,0.83
20.3,26.0,45.13,52.08
17.05,26.0,71.96,70.17
24.35,26.0,47.17,20.38
22.59,26.0,79.65,19.54
17.98,26.0,45.91,70.73
13.51,26.0,66.22,92.75
23.95,26.0,80.8,27.54
16.2,26.0,67.9,70.68
26.99,26.0,69.34,0.0
15.86,26.0,72.26,74.97
13.96,26.0,49.9,89.63
25.3,26.0,72.0,10.04
14.45,26.0,80.21,86.08
14.87,26.0,83.97,78.87
21.59,26.0,62.72,36.79
25.99,26.0,58.78,1.99
15.14,26.0,75.13,78.04
16.97,26.0,66.71,67.49
24.44,26.0,55.29,19.43
27.55,26.0,51.89,0.0
20.01,26.0,51.81,53.66
14.3,26.0,63.37,85.53
12.22,26.0,51.8,93.76
15.67,26.0,45.79,79.65
14.11,26.0,47.08,87.51
22.84,26.0,82.2,26.77
13.95,26.0,47.92,88.69
20.1,26.0,47.93,49.53
23.11,26.0,63.05,22.63
21.3,26.0,54.8,35.88
15.2,26.0,83.51,81.54
24.87,26.0,81.44,8.03
23.45,26.0,61.19,23.72
23.82,26.0,62.95,23.98
14.1,26.0,60.0,91.19
13.98,26.0,46.51,93.87
26.84,26.0,56.71,2.21
18.36,26.0,49.91,64.09
16.82,26.0,49.09,76.92
19.82,26.0,67.43,51.17
22.61,26.0,48.95,24.52
27.29,26.0,49.12,0.71
16.58,26.0,64.22,73.93
26.8,26.0,62.69,0.0
12.4,26.0,50.51,100.0
20.88,26.0,45.18,43.97
22.14,26.0,52.72,34.54
13.69,26.0,54.44,95.44
14.25,26.0,77.01,83.48
18.71,26.0,81.62,56.16
27.46,26.0,61.24,1.15
21.54,26.0,61.2,32.98
26.93,26.0,73.5,0.53
24.87,26.0,70.08,14.56
19.48,26.0,52.37,53.79
24.56,26.0,49.31,20.09
12.29,26.0,62.5,93.24
13.75,26.0,67.59,82.92
25.27,26.0,50.55,11.04
24.75,26.0,56.73,16.08
15.72,26.0,57.24,77.41
20.49,26.0,55.45,47.52
21.7,26.0,63.43,39.41
25.88,26.0,71.12,0.0
21.65,26.0,65.38,34.53
18.6,26.0,53.06,60.21
17.99,26.0,49.12,67.37
18.81,26.0,77.87,51.19
22.43,26.0,64.17,30.65
25.88,26.0,47.49,0.96
19.26,26.0,55.32,56.21
15.97,26.0,77.16,73.48
15.79,26.0,75.07,73.04
23.94,26.0,80.03,23.42
25.07,26.0,69.08,8.05
13.68,26.0,61.92,89.21
13.06,26.0,62.07,88.47
21.51,26.0,52.76,36.46
14.34,26.0,71.03,86.38
25.19,26.0,68.4,9.89
16.97,26.0,51.19,72.92
14.3,26.0,80.43,85.12
26.74,26.0,59.74,0.0
14.65,26.0,46.99,84.07
16.56,26.0,58.12,66.88
14.46,26.0,79.79,78.68
13.85,26.0,81.68,83.24
12.34,26.0,64.62,94.61
12.89,26.0,83.25,91.47
14.79,26.0,80.01,84.66
12.85,26.0,78.01,97.71
21.46,26.0,79.39,39.07
22.89,26.0,60.28,35.58
18.3,26.0,75.26,57.69
17.09,26.0,68.09,61.98
20.07,26.0,73.79,51.01
26.0,26.0,52.11,0.23
25.62,26.0,74.26,1.95
12.7,26.0,83.3,94.08
14.9,26.0,57.11,83.01
15.79,26.0,84.45,72.84
15.99,26.0,60.14,71.79
21.14,26.0,52.99,41.63
18.66,26.0,49.49,63.06
12.79,26.0,76.4,93.09
17.98,26.0,67.19,59.11
20.38,26.0,57.29,42.38
13.63,26.0,69.34,86.42
25.34,26.0,58.28,8.97
12.83,26.0,62.93,96.52
26.8,26.0,79.51,0.12
13.59,26.0,71.73,81.33
25.5,26.0,75.5,7.26
26.44,26.0,68.34,0.94
27.67,26.0,84.66,1.38
24.83,26.0,54.66,9.71
24.47,26.0,55.49,12.05
22.28,26.0,48.7,34.01
24.46,26.0,67.16,23.47
14.15,26.0,69.53,88.6
20.58,26.0,74.04,44.33
20.23,26.0,58.42,48.97
25.72,26.0,45.49,0.0
19.4,26.0,70.29,48.25
18.16,26.0,84.95,49.85
22.23,26.0,56.78,39.36
16.26,26.0,52.36,80.64
14.24,26.0,56.27,89.13
19.65,26.0,62.02,51.87
18.67,26.0,55.04,53.41
15.72,26.0,58.88,77.08
17.88,26.0,70.53,68.51
17.86,26.0,58.8,64.3
17.24,26.0,60.84,65.71
18.07,26.0,46.6,57.79
22.97,26.0,81.72,31.13
16.75,26.0,61.28,70.59
27.18,26.0,58.13,0.0
26.66,26.0,48.46,0.11
19.69,26.0,70.37,45.75
17.25,26.0,79.55,64.63
20.57,26.0,46.65,47.1
25.58,26.0,50.81,3.49
22.44,26.0,50.86,34.82
24.87,26.0,69.09,11.95
20.52,26.0,81.85,47.23
22.13,26.0,62.51,32.46
16.61,26.0,58.75,82.76
23.76,26.0,75.63,18.65
15.24,26.0,74.7,75.25
23.12,26.0,54.87,23.04
25.77,26.0,51.43,2.37
14.11,26.0,59.31,81.98
21.83,26.0,76.02,35.96
13.52,26.0,72.8,82.6
23.61,26.0,71.63,22.51
13.35,26.0,78.18,84.58
26.98,26.0,56.09,0.84
14.2,26.0,58.59,89.71
27.34,26.0,46.69,0.0
24.81,26.0,79.75,8.13
21.5,26.0,68.3,37.34
24.52,26.0,56.92,12.5
24.72,26.0,47.78,10.48
27.14,26.0,73.94,0.2
16.05,26.0,74.95,76.18
21.44,26.0,71.65,36.31
13.52,26.0,53.15,100.0
21.86,26.0,81.53,35.79
14.74,26.0,75.13,77.88
21.04,26.0,71.31,39.59
21.16,26.0,71.04,37.25
19.46,26.0,81.17,53.5
20.36,26.0,82.13,38.84
24.22,26.0,68.83,12.48
24.79,26.0,61.67,10.51
19.87,26.0,59.55,52.46
21.59,26.0,77.76,40.79
26.9,26.0,70.78,0.0
13.92,26.0,48.09,93.08
13.87,26.0,50.69,90.75
13.4,26.0,81.01,91.27
22.53,26.0,80.38,25.64
18.7,26.0,83.07,48.97
24.39,26.0,62.11,17.53
22.74,26.0,76.36,24.8
17.34,26.0,78.13,64.52
26.37,26.0,57.63,0.0
24.2,26.0,50.81,18.85
16.33,26.0,84.88,73.4
17.83,26.0,46.21,68.58
17.03,26.0,68.89,68.64
14.52,26.0,71.01,81.9
14.36,26.0,72.27,84.58
26.98,26.0,55.23,0.0
19.01,26.0,73.86,53.76
18.13,26.0,53.66,71.82
23.67,26.0,78.16,21.81
20.85,26.0,53.76,45.29
26.98,26.0,72.87,0.17
24.48,26.0,76.34,18.33
19.67,26.0,52.56,54.86
18.02,26.0,54.52,65.99
27.79,26.0,76.16,0.0
23.48,26.0,48.44,27.64
27.22,26.0,52.63,0.31
13.9,26.0,63.22,89.67
25.61,26.0,82.21,4.22
22.19,26.0,67.48,36.02
13.95,26.0,60.51,85.65
21.41,26.0,84.13,34.74
22.98,26.0,63.55,27.06
12.2,26.0,62.35,93.23
19.27,26.0,61.47,56.94
25.21,26.0,57.49,5.48
16.73,26.0,58.03,69.8
19.34,26.0,72.51,51.66
19.08,26.0,46.63,57.12
16.83,26.0,72.27,67.57
26.7,26.0,53.05,0.0
24.5,26.0,60.37,14.9
13.77,26.0,50.86,90.11
27.95,26.0,67.11,0.0
26.07,26.0,74.17,1.0
16.54,26.0,59.19,65.11
25.39,26.0,51.54,6.44
13.7,26.0,54.06,89.88
27.99,26.0,77.72,0.0
22.65,26.0,55.71,25.11
22.4,26.0,75.99,29.07
13.45,26.0,58.25,92.02
26.35,26.0,52.55,1.69
12.46,26.0,74.09,96.57
15.85,26.0,63.74,72.11
14.29,26.0,46.25,87.44
24.43,26.0,83.4,18.11
15.17,26.0,50.91,78.45
26.57,26.0,59.14,1.64
22.5,26.0,60.39,31.03
12.58,26.0,64.58,95.21
12.09,26.0,76.42,100.0
12.83,26.0,45.24,97.27
21.69,26.0,82.3,37.01
24.82,26.0,70.84,9.36
15.82,26.0,83.03,75.39
25.59,26.0,77.7,7.89
12.92,26.0,82.11,89.12
24.82,26.0,69.04,11.96
26.84,26.0,59.29,0.0
24.35,26.0,62.72,12.28
23.17,26.0,71.32,29.0
25.41,26.0,62.08,4.9
12.64,26.0,74.27,85.86
15.23,26.0,48.67,88.82
14.0,26.0,78.2,82.6
20.07,26.0,53.17,48.44
23.92,26.0,82.76,24.79
22.08,26.0,51.22,34.33
25.62,26.0,50.17,4.25
14.48,26.0,77.48,78.29
23.75,26.0,77.75,14.85
15.09,26.0,74.55,78.78
16.33,26.0,83.42,71.58
23.36,26.0,55.82,25.74
27.68,26.0,78.07,2.92
21.78,26.0,59.08,36.55
12.87,26.0,66.5,87.97
21.86,26.0,62.82,37.26
12.68,26.0,45.23,100.0
26.15,26.0,67.98,0.0
23.35,26.0,74.9,23.82
14.77,26.0,51.98,81.77
13.47,26.0,82.27,87.7
14.94,26.0,66.22,80.52
27.68,26.0,52.13,0.38
19.34,26.0,70.84,52.67
24.55,26.0,52.68,10.54
22.18,26.0,47.54,28.57
21.16,26.0,72.41,40.87
14.32,26.0,49.43,93.22
27.14,26.0,49.25,0.0
16.82,26.0,74.6,71.35
21.25,26.0,47.21,44.88
23.2,26.0,77.39,25.79
22.39,26.0,76.85,28.02
27.05,26.0,50.66,2.08
14.38,26.0,65.74,89.48
20.13,26.0,48.87,51.14
18.46,26.0,70.3,61.06
19.59,26.0,47.52,51.68
13.91,26.0,82.78,84.45
14.15,26.0,53.31,88.43
16.45,26.0,72.32,71.01
16.88,26.0,50.13,75.65
18.85,26.0,53.38,49.61
21.78,26.0,63.04,36.36
22.15,26.0,67.92,32.87
18.59,26.0,84.95,51.11
18.54,26.0,46.04,63.13
15.48,26.0,45.01,79.02
21.41,26.0,59.01,37.95
17.07,26.0,59.65,75.42
12.58,26.0,80.35,97.06
18.69,26.0,81.5,57.64
19.59,26.0,80.22,51.27
15.61,26.0,50.73,79.25
21.16,26.0,61.48,47.83
21.05,26.0,74.84,43.3
23.23,26.0,57.5,22.97
22.37,26.0,71.53,26.45
22.44,26.0,54.49,33.88
17.06,26.0,57.94,69.07
24.6,26.0,79.42,8.73
20.79,26.0,55.02,45.55
18.9,26.0,83.57,53.11
22.02,26.0,57.25,36.75
17.77,26.0,45.94,67.63
20.2,26.0,55.2,46.05
23.79,26.0,51.85,23.61
26.18,26.0,65.27,0.0
26.74,26.0,49.51,0.0
20.06,26.0,70.04,45.91
20.32,26.0,80.0,48.99
24.8,26.0,59.5,11.56
17.03,26.0,51.74,75.11
25.4,26.0,61.0,13.19
19.91,26.0,76.44,45.6
13.85,26.0,68.66,77.76
13.15,26.0,49.05,99.58
25.47,26.0,66.49,4.95
12.89,26.0,63.72,91.79
16.49,26.0,58.08,70.92
17.35,26.0,49.41,67.06
14.77,26.0,84.24,84.27
17.02,26.0,52.04,70.88
23.88,26.0,52.71,25.06
12.23,26.0,50.82,100.0
25.23,26.0,67.81,7.32
25.7,26.0,62.75,2.41
17.96,26.0,54.98,65.65
14.46,26.0,62.18,88.22
21.61,26.0,71.94,40.26
13.91,26.0,56.27,88.87
17.84,26.0,81.61,61.72
27.33,26.0,57.25,0.61
27.93,26.0,52.93,0.0
24.35,26.0,83.18,11.65
16.98,26.0,77.42,64.32
23.0,26.0,58.73,26.47
23.29,26.0,78.66,26.43
18.21,26.0,65.75,65.1
22.25,26.0,58.87,28.26
12.17,26.0,78.58,94.18
15.34,26.0,75.09,76.44
20.4,26.0,56.91,49.41
14.62,26.0,69.27,81.29
14.65,26.0,59.78,83.01
25.38,26.0,45.04,2.4
27.83,26.0,83.47,0.0
20.9,26.0,66.99,41.68
25.43,26.0,68.94,4.29
27.85,26.0,69.0,0.0
14.27,26.0,67.03,89.66
19.17,26.0,56.6,51.71
18.28,26.0,83.86,55.07
13.28,26.0,69.87,95.65
24.09,26.0,71.84,18.45
18.94,26.0,63.19,58.43
19.51,26.0,56.51,54.32
14.41,26.0,47.57,88.0
14.89,26.0,59.01,81.89
26.51,26.0,52.04,0.0
12.71,26.0,71.48,98.47
15.73,26.0,80.16,78.34
16.67,26.0,57.11,67.77
19.84,26.0,58.32,54.98
21.38,26.0,71.81,37.16
19.89,26.0,50.97,48.15
13.35,26.0,82.18,88.02
15.9,26.0,59.55,79.51
25.5,26.0,49.05,7.99
22.2,26.0,51.99,32.96
22.39,26.0,82.31,33.46
22.72,26.0,54.88,30.18
24.21,26.0,71.49,15.2
12.93,26.0,51.25,94.44
17.87,26.0,52.76,66.01
20.63,26.0,80.17,42.64
17.42,26.0,50.92,63.03
25.51,26.0,45.75,8.96
19.72,26.0,65.05,48.9
24.3,26.0,79.51,21.76
25.63,26.0,58.04,0.0
20.08,26.0,50.13,48.94
26.55,26.0,84.29,1.04
21.39,26.0,72.07,34.91
25.6,26.0,79.03,2.99
17.45,26.0,75.09,70.63
19.98,26.0,72.93,48.52
20.5,26.0,60.38,42.82
13.68,26.0,57.97,84.57
18.38,26.0,73.68,52.59
26.68,26.0,73.67,0.0
22.09,26.0,83.02,30.36
14.84,26.0,67.75,81.23
17.42,26.0,56.78,59.08
15.07,26.0,64.58,80.8
12.4,26.0,69.55,100.0
26.84,26.0,62.07,0.0
19.17,26.0,76.65,46.43
16.92,26.0,68.38,65.93
21.58,26.0,45.38,36.05
12.12,26.0,67.79,99.24
16.45,26.0,70.34,67.21
23.25,26.0,81.61,30.14
22.14,26.0,61.55,33.83
27.71,26.0,67.98,0.69
21.93,26.0,64.0,40.67
19.64,26.0,66.27,50.95
24.18,26.0,47.69,19.64
26.45,26.0,80.89,0.9
23.53,26.0,81.42,17.33
27.41,26.0,66.92,0.0
24.51,26.0,67.26,22.46
25.87,26.0,47.3,4.17
13.83,26.0,68.92,89.07
23.72,26.0,62.17,18.1
19.04,26.0,73.36,57.47
20.85,26.0,46.88,39.54
22.47,26.0,73.44,25.03
27.52,26.0,56.48,0.14
27.75,26.0,71.07,0.41
16.61,26.0,70.09,77.12
23.74,26.0,54.07,20.11
24.0,26.0,62.62,16.86
17.54,26.0,78.43,57.66
13.98,26.0,69.22,87.36
12.66,26.0,47.75,99.89
24.44,26.0,62.72,18.34
19.84,26.0,57.47,53.74
27.77,26.0,70.67,1.22
19.44,26.0,69.58,53.97
27.65,26.0,45.42,0.76
18.59,26.0,69.31,59.64
24.7,26.0,74.39,11.25
13.36,26.0,75.75,91.33
20.89,26.0,47.36,45.3
24.83,26.0,57.15,12.53
26.8,26.0,61.85,0.0
25.16,26.0,52.19,3.88
12.59,26.0,61.83,93.28
17.96,26.0,47.85,63.58
12.78,26.0,49.53,93.14
13.75,26.0,71.75,86.65
22.8,26.0,55.5,27.71
23.41,26.0,73.46,27.99
24.38,26.0,46.92,17.07
25.85,26.0,67.51,5.74
23.83,26.0,60.66,21.73
24.81,26.0,76.88,10.1
12.78,26.0,76.36,93.53
15.75,26.0,60.02,80.02
21.95,26.0,69.91,38.68
25.73,26.0,54.1,3.1
12.07,26.0,68.22,93.16
20.23,26.0,48.25,42.61
22.84,26.0,62.38,27.25
12.47,26.0,52.31,91.4
18.42,26.0,80.34,63.81
26.33,26.0,62.8,2.37
22.75,26.0,68.63,26.5
15.8,26.0,59.42,73.35
25.64,26.0,56.55,8.08
17.57,26.0,53.12,62.63
25.65,26.0,81.47,0.6
16.78,26.0,76.98,65.74
21.45,26.0,50.33,40.03
18.35,26.0,74.87,60.81
16.4,26.0,61.74,77.23
26.18,26.0,45.62,0.0
15.0,26.0,66.13,81.27
13.36,26.0,50.2,97.98
17.47,26.0,53.4,64.8
23.48,26.0,72.84,16.52
24.92,26.0,55.29,9.21
27.98,26.0,80.68,0.0
16.74,26.0,71.29,67.27
18.53,26.0,78.29,53.73
14.19,26.0,69.61,84.13
21.2,26.0,79.75,41.25
27.96,26.0,59.47,0.0
23.21,26.0,66.97,19.21
21.52,26.0,65.64,33.38
18.28,26.0,81.15,55.59
26.64,26.0,51.6,0.0
19.95,26.0,68.12,47.98
14.15,26.0,75.18,82.49
17.85,26.0,59.8,66.33
13.07,26.0,79.7,94.04
15.23,26.0,59.92,80.75
12.28,26.0,51.93,97.99
19.25,26.0,68.36,54.36
22.15,26.0,61.82,32.75
17.49,26.0,45.61,67.18
18.73,26.0,47.79,57.5
27.35,26.0,52.81,0.51
24.03,26.0,75.77,19.34
20.65,26.0,80.68,46.36
16.55,26.0,66.83,76.0
26.35,26.0,49.22,0.0
15.76,26.0,66.38,74.66
17.21,26.0,79.22,69.08
26.55,26.0,74.98,0.52
20.47,26.0,56.64,55.26
23.88,26.0,49.96,21.81
21.45,26.0,81.03,39.66
22.46,26.0,79.16,31.25
16.79,26.0,47.15,72.2
15.86,26.0,77.95,73.13
17.16,26.0,48.89,70.86
14.49,26.0,47.53,89.47
25.99,26.0,75.34,4.26
16.53,26.0,66.45,72.59
20.98,26.0,61.58,40.46
24.67,26.0,81.15,11.93
24.54,26.0,78.57,9.6
19.01,26.0,47.3,63.16
19.62,26.0,69.64,48.9
27.92,26.0,75.89,0.0
22.79,26.0,67.02,29.42
25.03,26.0,84.32,10.97
26.44,26.0,72.44,2.35
24.6,26.0,49.17,11.8
14.96,26.0,52.93,80.28
20.99,26.0,78.05,46.68
13.63,26.0,84.87,86.83
22.45,26.0,48.93,36.12
27.29,26.0,49.01,1.78
20.2,26.0,75.54,44.82
18.93,26.0,47.57,59.4
12.57,26.0,47.74,100.0
27.36,26.0,80.55,0.38
13.65,26.0,77.02,87.09
12.66,26.0,80.26,95.12
15.94,26.0,71.02,72.87
13.05,26.0,57.9,93.79
19.28,26.0,81.25,51.23
20.26,26.0,56.95,55.03
17.0,26.0,56.02,63.5
12.82,26.0,80.46,93.85
13.79,26.0,72.23,86.87
18.15,26.0,80.83,56.96
12.97,26.0,51.24,95.71
23.17,26.0,83.09,27.09
15.31,26.0,69.51,81.31
16.83,26.0,71.72,69.48
18.31,26.0,81.56,61.95
18.67,26.0,60.23,62.71
12.03,26.0,73.78,100.0
13.79,26.0,70.61,86.09
25.8,26.0,76.51,4.32
12.02,26.0,80.88,98.46
20.13,26.0,72.2,44.22
19.83,26.0,47.71,46.05
17.33,26.0,52.33,61.15
18.9,26.0,83.16,54.35
24.49,26.0,83.75,15.55
25.46,26.0,83.7,1.92
16.17,26.0,46.47,80.47
17.16,26.0,60.3,68.82
15.88,26.0,75.39,79.04
19.68,26.0,75.12,51.15
22.93,26.0,48.44,24.7
15.65,26.0,69.38,78.27
17.29,26.0,50.71,71.05
26.89,26.0,64.73,1.76
12.78,26.0,54.59,92.2
19.37,26.0,47.13,55.2
23.38,26.0,48.2,21.33
14.41,26.0,81.44,86.31
12.76,26.0,74.79,92.09
14.21,26.0,82.27,89.46
26.7,26.0,63.8,0.0
12.15,26.0,61.53,100.0
15.01,26.0,59.34,87.31
12.5,26.0,69.65,92.93
13.77,26.0,59.06,89.65
21.92,26.0,74.85,32.94
15.87,26.0,77.05,71.75
21.11,26.0,80.03,40.54
21.44,26.0,54.71,34.78
25.59,26.0,66.08,4.56
12.08,26.0,53.94,100.0
25.65,26.0,46.5,3.71
21.91,26.0,73.31,31.08
14.6,26.0,66.96,87.23
24.37,26.0,73.96,18.37
25.69,26.0,48.5,0.43
16.07,26.0,84.82,67.2
26.7,26.0,84.77,0.0
19.27,26.0,63.6,55.7
21.65,26.0,79.64,36.87
27.75,26.0,54.74,0.77
17.78,26.0,74.5,61.22
25.01,26.0,80.17,6.96
17.09,26.0,77.59,69.58
24.79,26.0,77.47,10.25
21.61,26.0,63.52,38.07
15.46,26.0,77.8,71.11
18.62,26.0,72.63,55.12
17.08,26.0,50.3,73.69
13.25,26.0,49.57,92.7
12.48,26.0,75.88,97.83
17.54,26.0,70.02,56.33
12.3,26.0,65.78,96.04
14.65,26.0,81.29,80.35
23.6,26.0,71.38,28.13
23.33,26.0,60.85,20.57
23.82,26.0,61.56,23.09
17.07,26.0,69.21,71.33
26.24,26.0,75.41,0.0
21.5,26.0,67.57,36.6
14.02,26.0,65.35,88.05
14.3,26.0,74.08,79.11
23.09,26.0,73.21,24.29
14.77,26.0,78.21,85.2
20.12,26.0,47.5,51.36
27.87,26.0,75.2,1.99
12.06,26.0,65.55,99.9
12.27,26.0,47.99,100.0
27.89,26.0,72.16,1.71
21.35,26.0,73.66,36.53
14.03,26.0,65.95,92.74
26.36,26.0,76.75,0.0
26.09,26.0,57.01,0.0
20.58,26.0,53.08,42.76
21.95,26.0,59.03,31.7
16.37,26.0,61.4,72.13
12.81,26.0,72.84,93.79
21.51,26.0,78.82,30.77
16.72,26.0,73.84,71.01
22.62,26.0,51.96,35.18
25.38,26.0,59.65,9.16
12.29,26.0,51.34,98.55
21.53,26.0,72.47,34.54
15.7,26.0,54.93,79.64
25.98,26.0,66.02,0.0
16.06,26.0,76.67,74.56
21.77,26.0,71.84,37.75
20.86,26.0,56.93,47.2
18.34,26.0,58.31,56.74
22.84,26.0,71.13,28.63
23.61,26.0,66.98,20.88
21.07,26.0,48.86,42.16
24.13,26.0,79.96,20.51
27.73,26.0,65.5,0.0
18.71,26.0,63.93,62.45
20.23,26.0,52.94,49.68
12.2,26.0,60.08,99.37
24.74,26.0,58.31,12.23
20.32,26.0,55.83,41.2
18.53,26.0,67.7,63.02
13.51,26.0,63.49,89.93
26.23,26.0,80.57,0.0
18.32,26.0,82.65,60.28
22.92,26.0,53.78,23.86
14.39,26.0,49.0,84.79
27.38,26.0,76.41,1.61
14.86,26.0,84.79,80.13
15.19,26.0,79.54,75.88
25.74,26.0,45.95,3.02
26.6,26.0,55.05,0.79
15.39,26.0,46.73,85.13
19.52,26.0,77.83,45.51
23.74,26.0,68.26,26.84
26.05,26.0,65.55,0.27
18.06,26.0,67.18,60.92
20.27,26.0,55.1,43.54
23.87,26.0,69.07,23.72
23.7,26.0,46.23,24.03
24.53,26.0,70.84,9.47
21.12,26.0,74.38,39.26
13.67,26.0,71.92,99.44
26.46,26.0,58.28,0.0
25.85,26.0,78.05,0.0
24.77,26.0,73.62,8.91
13.6,26.0,50.13,99.1
15.27,26.0,52.81,84.67
23.9,26.0,70.48,24.66
12.37,26.0,56.58,100.0
